Designator,Mid X,Mid Y,Layer,Rotation
C1,63.27, 5.21,Top,90.0
C2,61.11, 5.21,Top,90.0
C3, 5.21,-5.94,Top,180.0
C4,34.70,-10.52,Top,270.0
C6, 9.17,-20.65,Top,90.0
C7, 5.74,-3.89,Top,180.0
C10,14.12,-17.37,Top,0.0
C11,10.52,-14.45,Top,270.0
C12,13.77,-15.82,Top,0.0
C18,17.73,26.21,Top,90.0
C19,24.08,26.21,Top,90.0
C20,31.47,21.36,Top,90.0
C22,38.18,14.99,Top,270.0
C23,39.73,14.38,Top,270.0
C24,37.52,10.95,Top,90.0
C25,34.95, 8.74,Top,180.0
C28,20.45,-10.85,Top,270.0
C29,22.48,-10.85,Top,270.0
C30,24.03,-10.52,Top,270.0
C31,30.86,-12.67,Top,90.0
C32,38.30,-10.87,Top,270.0
C33,36.25,-10.87,Top,270.0
C34,31.88,-1.83,Top,0.0
C35,24.43, 6.50,Top,180.0
C36,22.02,-1.93,Top,0.0
D1, 8.86,-7.72,Top,270.0
D2,27.00,-20.77,Top,0.0
D3,27.15, 6.50,Top,180.0
IC2,56.26,-7.49,Top,270.0
IC3,13.34,-12.70,Top,0.0
IC4,34.70,17.91,Top,90.0
IC5,27.08,-10.95,Top,180.0
IC6,55.45,20.42,Top,270.0
IC7,34.29, 1.55,Top,90.0
IC8,24.59, 1.55,Top,90.0
J3,20.98,-21.84,Top,180.0
J4, 6.61,-12.70,Top,270.0
L2,31.95,-10.01,Top,180.0
POWER,70.03, 9.96,Top,0.0
Q1,13.23,-7.80,Top,180.0
Q3,34.95,10.95,Top,180.0
R1,11.43,-7.80,Top,90.0
R2,10.21,-20.65,Top,270.0
R3,15.03,-7.77,Top,270.0
R4, 7.37,-19.91,Top,180.0
R5, 7.37,-18.82,Top,180.0
R6,67.87, 9.96,Top,0.0
R11,40.56, 4.85,Top,0.0
R12,27.15, 5.13,Top,180.0
R17,19.00,24.21,Top,90.0
R18,16.46,24.21,Top,90.0
R19,25.35,24.21,Top,90.0
R20,22.81,24.21,Top,90.0
R21,35.20,13.36,Top,180.0
R22,12.90,10.03,Top,180.0
R24,30.58,16.43,Top,180.0
R25,39.60,17.93,Top,0.0
R26,27.86,-13.21,Top,0.0
R29,53.80, 4.01,Top,180.0
R30,51.13, 4.01,Top,0.0
R31,32.94,-12.67,Top,270.0
R32,31.90,-12.67,Top,90.0
R33,30.07, 4.95,Top,90.0
R34,36.70,-1.83,Top,180.0
R35,16.38, 4.70,Top,270.0
R36,16.41,-1.60,Top,270.0
R37, 7.37, 1.55,Top,90.0
R38,41.35, 1.80,Top,0.0
R39,41.35, 2.84,Top,180.0
R40,11.40,-0.99,Top,0.0
R41,11.40, 4.09,Top,0.0
RESET,12.70,-23.42,Top,180.0
RX,43.54, 2.84,Top,0.0
SD_CARD,58.17,24.36,Top,90.0
TR1,20.90,17.78,Top,0.0
TVS1,17.50, 1.55,Top,270.0
TX,43.54, 1.80,Top,0.0
RS485, 3.20, 1.55,Top,90.0
J5, 3.28,19.02,Top,270.0
C5,55.32,21.06,Bottom,180.0
C13,11.10,21.03,Bottom,0.0
C14,11.10,18.52,Bottom,0.0
C15,19.76,21.84,Bottom,90.0
C16,17.73,14.99,Bottom,90.0
C17,24.08,14.99,Bottom,90.0
C21,31.50,21.97,Bottom,90.0
C26,38.18,15.77,Bottom,270.0
C27,40.21,20.09,Bottom,90.0
D4,17.93,33.27,Bottom,0.0
L1,38.18,20.19,Bottom,90.0
R13,14.12,21.03,Bottom,180.0
R14,14.12,18.52,Bottom,180.0
R15,17.73,18.01,Bottom,270.0
R16,24.08,18.01,Bottom,270.0
R23,14.40,23.60,Bottom,180.0
R27,51.46,12.04,Bottom,270.0
R28,50.39,12.04,Bottom,270.0
R42,21.46,-17.42,Bottom,90.0
R43,22.50,-17.42,Bottom,90.0
